tex_file,line,number,context,status,hit_files,human_confirmed
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,17,1.5,\vspace{1.5cm},FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,21,0.5,\vspace{0.5cm},FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,24,21201617,21201617\\[0.3cm],NOT_FOUND,,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,24,0.3,21201617\\[0.3cm],FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,27,22301618,22301618\\[0.3cm],NOT_FOUND,,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,27,0.3,22301618\\[0.3cm],FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,30,22101559,22101559,NOT_FOUND,,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,32,1.5,\vspace{1.5cm},FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\core\titlepage.tex,38,2.5,\vspace{2.5cm},FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,6,256,"\item \textbf{SHA-256:} \texttt{2035777f957fa4c5cc830989f4fe40fb9190589f17c567cb29a3ef0e6b2acae2}, verified on 23 September 2026.",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,6,2035777,"\item \textbf{SHA-256:} \texttt{2035777f957fa4c5cc830989f4fe40fb9190589f17c567cb29a3ef0e6b2acae2}, verified on 23 September 2026.",FOUND,docs\cli_session_log.md;docs\experiment_preregistration.md;docs\FULL_THESIS_PAPER.md;docs\todo.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,6,23,"\item \textbf{SHA-256:} \texttt{2035777f957fa4c5cc830989f4fe40fb9190589f17c567cb29a3ef0e6b2acae2}, verified on 23 September 2026.",FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,7,24,"\item \textbf{Cohort:} eight participants with video (s1--s8), 24 clips (three tasks per participant).",FOUND,outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,11,"3,344","\item \textbf{Windows:} 3,344 in total; 2,344 for training, 504 for validation, and 496 for testing.",FOUND,outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\source_audits\source_audit_adult_curation_pool.csv;docs\experiment_preregistration.md;docs\FULL_THESIS_PAPER.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,11,"2,344","\item \textbf{Windows:} 3,344 in total; 2,344 for training, 504 for validation, and 496 for testing.",FOUND,outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv;docs\FULL_THESIS_PAPER.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,11,504,"\item \textbf{Windows:} 3,344 in total; 2,344 for training, 504 for validation, and 496 for testing.",FOUND,outputs\interim_secured_metrics.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,11,496,"\item \textbf{Windows:} 3,344 in total; 2,344 for training, 504 for validation, and 496 for testing.",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\spectral_verification.csv;outputs\leakage_run\spectral_verification.txt;outputs\pilot_checkpoints\oof_preds_mod.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,24,20,\texttt{src/train\_ultimate\_sweep.py} & Orchestration of the 20-run sweep \\,FOUND,outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,43,42,\texttt{outputs/interim\_secured\_metrics.csv} & Metrics for seeds 42 and 100 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,43,100,\texttt{outputs/interim\_secured\_metrics.csv} & Metrics for seeds 42 and 100 \\,FOUND,outputs\interim_secured_metrics.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\thesis_final_comprehensive_report.json;outputs\leakage_run\null_corrs.csv;outputs\reports\p2_summary.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,51,256,"\paragraph{Master checkpoint.} The master checkpoint (\texttt{equitas\_rcmf\_master\_best.pt}, SHA-256 \texttt{4c2dcad4\ldots b3bc5b}) was present when the benc",FOUND,outputs\pds_per_subject.csv;outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,51,21,"\paragraph{Master checkpoint.} The master checkpoint (\texttt{equitas\_rcmf\_master\_best.pt}, SHA-256 \texttt{4c2dcad4\ldots b3bc5b}) was present when the benc",FOUND,outputs\pds_per_subject.csv;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\line_A_final_snr.csv;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,55,42,"\item Seeds: 42, 100, 2026, 777, and 888; 250 epochs per run; batch size 32; learning rate $10^{-4}$.",FOUND,outputs\interim_secured_metrics.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_baseline_mobilenet_v3_small_concat_best.json;outputs\analysis\line_A_final_snr.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,55,100,"\item Seeds: 42, 100, 2026, 777, and 888; 250 epochs per run; batch size 32; learning rate $10^{-4}$.",FOUND,outputs\interim_secured_metrics.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\thesis_final_comprehensive_report.json;outputs\leakage_run\null_corrs.csv;outputs\reports\p2_summary.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,55,777,"\item Seeds: 42, 100, 2026, 777, and 888; 250 epochs per run; batch size 32; learning rate $10^{-4}$.",FOUND,outputs\leakage_run\null_corrs.csv;outputs\pilot_checkpoints\oof_preds_ext.csv;outputs\pilot_checkpoints\oof_preds_mod.csv;outputs\pilot_checkpoints\oof_preds_rnd.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,55,888,"\item Seeds: 42, 100, 2026, 777, and 888; 250 epochs per run; batch size 32; learning rate $10^{-4}$.",FOUND,outputs\pds_per_subject.csv;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json;outputs\leakage_run\null_corrs.csv;outputs\leakage_run\spectral_verification.csv,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,55,250,"\item Seeds: 42, 100, 2026, 777, and 888; 250 epochs per run; batch size 32; learning rate $10^{-4}$.",FOUND,outputs\pilot_checkpoints\oof_preds_rnd.csv;outputs\reports\equitas_rcmf_edge_benchmark_report.json;outputs\reports\p2_summary.csv;outputs\reports\train_camera_off_baseline_mobilenet_seed100_report.json;outputs\reports\train_camera_off_baseline_mobilenet_seed2026_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,55,32,"\item Seeds: 42, 100, 2026, 777, and 888; 250 epochs per run; batch size 32; learning rate $10^{-4}$.",FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_concat_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,57,4060,\item Hardware: RTX~4060 GPU for training; x86-64 CPU for the latency benchmark.,FOUND,docs\FULL_THESIS_PAPER.md,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,57,64,\item Hardware: RTX~4060 GPU for training; x86-64 CPU for the latency benchmark.,FOUND,outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json;outputs\analysis\evaluation_report_counterfactual_cgf_js_mobilenet_v3_small_multimodal_10k_unbiased_best.json;outputs\analysis\metrics_comparison_table.csv;outputs\analysis\sklearn_comprehensive_report.json,
files from claude's correction for draft submission\files(4)\cli_brief_v2\thesis_latex_latest\appendix\appendix_a.tex,61,1.7149,The orthogonality error $\|W_{\text{causal}} W_{\text{conf}}^{\top}\|_F$ can be computed for any checkpoint with \texttt{model.stiefel\_decomp.verify\_mutual\_o,FOUND,outputs\interim_secured_metrics.csv;outputs\k1_baseline_rigorous.txt;outputs\lambda_sweep_results.csv;outputs\pds_per_subject.csv;outputs\analysis\dataset_analysis_report.json,
K1_Baseline_Accuracy,outputs,scratch/k1_baseline.py,0.6931,Pre-registered physiology-only baseline (LOSO, N=15)
Exploratory_Physio_LR_Accuracy,outputs,tools/physio_baseline.py,0.5665,Exploratory two-feature LR on exact test split
Exploratory_Physio_MLP_Accuracy,outputs,tools/physio_baseline.py,0.5363,Exploratory two-feature MLP on exact test split
